iter	Passed	Remaining
399	41906	10476
400	42018	10373
401	42129	10270
402	42231	10165
403	42325	10057
404	42419	9950
405	42518	9844
406	42618	9738
407	42720	9633
408	42831	9529
409	42931	9423
410	43030	9318
411	43135	9213
412	43245	9109
413	43345	9004
414	43452	8899
415	43557	8795
416	43662	8690
417	43761	8584
418	43863	8479
419	43965	8374
420	44067	8269
421	44182	8166
422	44296	8063
423	44406	7959
424	44503	7853
425	44607	7748
426	44712	7644
427	44818	7539
428	44935	7436
429	45047	7333
430	45163	7230
431	45339	7136
432	45438	7030
433	45542	6925
434	45648	6820
435	45750	6715
436	45853	6610
437	45956	6505
438	46059	6400
439	46168	6295
440	46281	6191
441	46388	6087
442	46497	5982
443	46608	5878
444	46720	5774
445	46823	5669
446	46922	5563
447	47031	5459
448	47136	5354
449	47243	5249
450	47343	5143
451	47451	5039
452	47554	4933
453	47653	4828
454	47751	4722
455	47853	4617
456	47953	4512
457	48058	4407
458	48170	4302
459	48269	4197
460	48362	4091
461	48462	3986
462	48566	3881
463	48670	3776
464	48762	3670
465	48855	3564
466	48949	3458
467	49047	3353
468	49151	3248
469	49262	3144
470	49367	3039
471	49475	2934
472	49583	2830
473	49682	2725
474	49779	2619
475	49884	2515
476	49999	2410
477	50101	2305
478	50202	2200
479	50295	2095
480	50385	1990
481	50482	1885
482	50589	1780
483	50691	1675
484	50800	1571
485	50911	1466
486	51018	1361
487	51112	1256
488	51218	1152
489	51347	1047
490	51474	943
491	51580	838
492	51679	733
493	51773	628
494	51865	523
495	51956	419
496	52057	314
497	52164	209
498	52269	104
499	52382	0
