iter	RMSE
0	5.310105682
1	5.185105532
2	5.072510446
3	4.975936523
4	4.886489992
5	4.798980148
6	4.710283326
7	4.62571278
8	4.531591781
9	4.455996955
10	4.376842158
11	4.299105665
12	4.226876758
13	4.161457904
14	4.101388808
15	4.031431137
16	3.968389036
17	3.900601401
18	3.842795394
19	3.782630974
20	3.731194717
21	3.672585995
22	3.623196844
23	3.561834523
24	3.508459633
25	3.461382202
26	3.413570141
27	3.36667279
28	3.318425152
29	3.274299467
30	3.241312432
31	3.203488835
32	3.154652052
33	3.11148916
34	3.073541383
35	3.03929702
36	2.996363316
37	2.95464626
38	2.918995848
39	2.875578878
40	2.845116178
41	2.825002663
42	2.791916796
43	2.750932291
44	2.711379951
45	2.684551471
46	2.652447973
47	2.617614489
48	2.58426635
49	2.546493528
50	2.523543042
51	2.488792514
52	2.467655906
53	2.429317397
54	2.410426341
55	2.387944239
56	2.361113251
57	2.333218197
58	2.308416147
59	2.279370746
60	2.261107491
61	2.23802932
62	2.203656445
63	2.174014563
64	2.144425501
65	2.117642254
66	2.094083407
67	2.066563057
68	2.045358279
69	2.022098331
70	1.997169644
71	1.973201013
72	1.943458011
73	1.914325664
74	1.889431266
75	1.861876958
76	1.845968544
77	1.828037357
78	1.800236046
79	1.773617522
80	1.753259609
81	1.736338331
82	1.716965971
83	1.694415054
84	1.673303878
85	1.649460497
86	1.633211253
87	1.60643239
88	1.580376464
89	1.574100286
90	1.557679439
91	1.540919002
92	1.530765357
93	1.510683901
94	1.498398804
95	1.492157412
96	1.467899781
97	1.44673126
98	1.422343095
99	1.402044166
100	1.385880114
101	1.364699439
102	1.349782054
103	1.327839847
104	1.308042545
105	1.288581348
106	1.267450122
107	1.249763552
108	1.232130461
109	1.217227584
110	1.196704596
111	1.189087673
112	1.168398979
113	1.150886012
114	1.131127781
115	1.116172406
116	1.099123188
117	1.093904083
118	1.076582637
119	1.064273971
120	1.046859723
121	1.036874711
122	1.026891681
123	1.013100284
124	0.999071238
125	0.987199731
126	0.968043246
127	0.9609846331
128	0.9472111576
129	0.9306024517
130	0.9195681464
131	0.9049227404
132	0.8960758456
133	0.878567919
134	0.8650886277
135	0.861640786
136	0.8500549449
137	0.8357414407
138	0.8331156672
139	0.8209922294
140	0.8082168583
141	0.794928514
142	0.782481092
143	0.7796468916
144	0.7721849271
145	0.7644272189
146	0.7552902336
147	0.7444319421
148	0.7393197589
149	0.7269692745
150	0.716972266
151	0.7066696354
152	0.6966006087
153	0.6842144358
154	0.6717263667
155	0.6640171099
156	0.6539303238
157	0.6453635312
158	0.6370334457
159	0.6325658689
160	0.6245681774
161	0.6157436681
162	0.6050388524
163	0.5964624813
164	0.5910219287
165	0.5824678609
166	0.5748550274
167	0.5698880076
168	0.5614537549
169	0.5534836938
170	0.5442710595
171	0.5361950472
172	0.5280326639
173	0.5207924134
174	0.5124070002
175	0.5051627821
176	0.4968279557
177	0.4894450291
178	0.4847719882
179	0.4792757259
180	0.4725339602
181	0.4687754798
182	0.4643083825
183	0.4596771336
184	0.4535253912
185	0.4529142126
186	0.4472033115
187	0.4410813191
188	0.4341384946
189	0.4337059533
190	0.4274957838
191	0.4226508134
192	0.4184957632
193	0.4146756427
194	0.4090181794
195	0.4024394324
196	0.3988555367
197	0.3936201741
198	0.3866747084
199	0.3862718479
200	0.3808669975
201	0.3767201811
202	0.3739932254
203	0.3734911183
204	0.3682036984
205	0.3624711929
206	0.3573637896
207	0.3528240496
208	0.3522703711
209	0.3477206078
210	0.3438391224
211	0.3403325345
212	0.3367770873
213	0.3337055618
214	0.3332389356
215	0.3290917096
216	0.3240744374
217	0.318773498
218	0.3133121242
219	0.3127281764
220	0.3090329843
221	0.3059587978
222	0.3008579947
223	0.2975839061
224	0.2932170511
225	0.2887929527
226	0.2851478902
227	0.2823625506
228	0.2803050308
229	0.2800553539
230	0.275267933
231	0.2728042671
232	0.2690651949
233	0.2670675414
234	0.262787584
235	0.2593756561
236	0.2572059266
237	0.2543412338
238	0.2501888421
239	0.2477225303
240	0.2475350223
241	0.2446095331
242	0.2408748509
243	0.2374879942
244	0.2333657929
245	0.230677832
246	0.229536297
247	0.2290881041
248	0.226391008
249	0.223699396
250	0.2206836723
251	0.2184254479
252	0.2181030493
253	0.2157077909
254	0.215530709
255	0.2143300698
256	0.2111010094
257	0.2080903976
258	0.2051290102
259	0.2034316267
260	0.2032046489
261	0.2002793063
262	0.1973599416
263	0.197069789
264	0.1968523138
265	0.1949115279
266	0.1918915934
267	0.1916058321
268	0.1891951309
269	0.1864567826
270	0.1838670588
271	0.1837413927
272	0.1814375924
273	0.1791188648
274	0.1759446218
275	0.1731172321
276	0.1729858708
277	0.1708415929
278	0.1689633482
279	0.1669602452
280	0.1648020438
281	0.162330944
282	0.160128955
283	0.1588367757
284	0.156590872
285	0.1550150057
286	0.1534839018
287	0.1512276487
288	0.1501427243
289	0.1482343259
290	0.1465983145
291	0.1452231728
292	0.1431491197
293	0.1413844097
294	0.1393507959
295	0.1373559815
296	0.1351726508
297	0.1350680027
298	0.1331577863
299	0.1317550419
300	0.1296817891
301	0.1291204593
302	0.1274713026
303	0.1258156417
304	0.1256789631
305	0.1236025825
306	0.1234877244
307	0.1233258101
308	0.1227732212
309	0.1214637511
310	0.1204999952
311	0.1195931307
312	0.1194680111
313	0.1182241916
314	0.1167047096
315	0.1156507812
316	0.1144552291
317	0.1135871658
318	0.1126058114
319	0.1109211808
320	0.1108398748
321	0.1099026052
322	0.1088509589
323	0.1080257627
324	0.1079482664
325	0.1078221052
