iter	RMSE
326	0.1063071223
327	0.1048732872
328	0.1048040861
329	0.1041618959
330	0.1038689965
331	0.1028440079
332	0.1015785609
333	0.1006858329
334	0.1006215597
335	0.09950123329
336	0.09943955904
337	0.09882053869
338	0.09876421726
339	0.09791128508
340	0.09785789322
341	0.09779952159
342	0.09646830458
343	0.0950916676
344	0.09403534042
345	0.09397317417
346	0.09284677982
347	0.09270654534
348	0.0921802943
349	0.09089087238
350	0.09018965238
351	0.08920328643
352	0.08897312565
353	0.0876519392
354	0.08636817265
355	0.08563490793
356	0.08487949279
357	0.08388461668
358	0.08361221267
359	0.08273552672
360	0.08159508083
361	0.08031530687
362	0.07945852015
363	0.07839237269
364	0.07788272174
365	0.07775878751
366	0.07671784695
367	0.07600401468
368	0.07530879288
369	0.07402988909
370	0.07278019359
371	0.07156496984
372	0.07086166162
373	0.07020078464
374	0.07008891972
375	0.06896823709
376	0.06836608609
377	0.06759583111
378	0.06655492328
379	0.06569574455
380	0.06509993681
381	0.06450013407
382	0.06362844591
383	0.06285346477
384	0.06256737645
385	0.0625223137
386	0.06165396554
387	0.06073664688
388	0.05990318248
389	0.05917083854
390	0.05911425875
391	0.05841271417
392	0.05780416701
393	0.05728588492
394	0.05686335611
395	0.05630980986
396	0.05557876577
397	0.05484320476
398	0.05396281559
399	0.05311327652
400	0.05265241733
401	0.05184904825
402	0.05121161348
403	0.05062877588
404	0.04990430668
405	0.04914691435
406	0.04837381076
407	0.04762181637
408	0.0472132248
409	0.04667542861
410	0.04634761633
411	0.04574672404
412	0.04517074524
413	0.04486448733
414	0.04419403475
415	0.04416097707
416	0.04359110664
417	0.04353547513
418	0.04307928475
419	0.04258196901
420	0.04204394345
421	0.04139198803
422	0.04136513956
423	0.04093165752
424	0.04090708609
425	0.04087361791
426	0.04027648147
427	0.03974142175
428	0.03909726692
429	0.03849841619
430	0.03844885114
431	0.03785385071
432	0.03727269253
433	0.03671344313
434	0.03625706485
435	0.03600629743
436	0.03596161958
437	0.03555916811
438	0.03518746425
439	0.03515895473
440	0.03513687348
441	0.03455023139
442	0.034311356
443	0.0338616813
444	0.03351339325
445	0.03300840267
446	0.03265379965
447	0.03209260807
448	0.03206614486
449	0.03162086787
450	0.03158502181
451	0.03122603998
452	0.0308196402
453	0.03051968868
454	0.03044855013
455	0.03040272783
456	0.03026451682
457	0.03010271728
458	0.02959732152
459	0.0293326699
460	0.02914359126
461	0.02870450265
462	0.02866646069
463	0.02841184845
464	0.0283546546
465	0.02832752792
466	0.02808711505
467	0.02806762058
468	0.02805095038
469	0.02767040751
470	0.02745780909
471	0.0272996095
472	0.02690123554
473	0.02654392357
474	0.02614029266
475	0.02609253042
476	0.02584337459
477	0.02582415116
478	0.02551042903
479	0.02523627201
480	0.02493429607
481	0.02467207436
482	0.02444208043
483	0.0242000832
484	0.0240442632
485	0.0239325168
486	0.02368966167
487	0.02365009684
488	0.02344470527
489	0.02310946583
490	0.02305196977
491	0.02302126325
492	0.02300065804
493	0.02271053411
494	0.02244598243
495	0.02217548427
496	0.02187565272
497	0.02178788393
498	0.0215653012
499	0.02123209968
